account,Ticker,Exchange,position,marketPrice,averageCost,unrealizedPNL,realizedPNL
DU483138,ARI,NYSE,39.0,18.83399965,18.85218095,-0.71,0.0
DU483138,AZN,NYSE,18.0,39.4360008,39.47265875,-0.66,0.0
DU483138,BXMT,NYSE,21.0,34.90600205,34.9398789,-0.71,0.0
DU483138,CNA,NYSE,16.0,43.89453505,43.9650911,-1.13,0.0
DU483138,CNXM,NYSE,39.0,18.7680397,18.82218095,-2.11,0.0
DU483138,EQM,NYSE,15.0,46.67874525,46.7765505,-1.47,0.0
DU483138,GLOP,NYSE,33.0,22.2023449,22.26381385,-2.03,0.0
DU483138,HEP,NYSE,25.0,29.51704025,29.5972103,-2.0,0.0
DU483138,INFY,NYSE,74.0,9.974,9.9825332,-0.63,0.0
DU483138,INN,NYSE,70.0,10.4939995,10.49820365,-0.29,0.0
DU483138,KIM,NYSE,44.0,16.48600005,16.5180604,-1.41,0.0
DU483138,LVS,NYSE,13.0,55.920784,55.98664285,-0.86,0.0
DU483138,MFA,NYSE,105.0,7.01399995,7.02336925,-0.98,0.0
DU483138,NVO,NYSE,15.0,46.31000135,46.3330505,-0.35,0.0
DU483138,PAA,NYSE,32.0,23.08600045,23.09414555,-0.26,0.0
DU483138,PRA,NYSE,18.0,40.62718965,40.73265875,-1.9,0.0
DU483138,PSXP,NYSE,16.0,45.80456545,45.8950911,-1.45,0.0
DU483138,RPT,NYSE,52.0,14.105999,14.1299357,-1.24,0.0
DU483138,SACH,AMEX,100.0,3.88850925,4.06390255,-17.54,0.0
DU483138,SIR,NASDAQ,39.0,18.7537079,18.79218095,-1.5,0.0
DU483138,T,NYSE,24.0,30.05599975,30.09479405,-0.93,0.0
DU483138,TEF,NYSE,82.0,8.91399955,8.91747145,-0.28,0.0
DU483138,TEO,NYSE,44.0,16.5603943,16.6311604,-3.11,0.0
DU483138,TEVA,NYSE,38.0,19.2460003,19.2789173,-1.25,0.0
DU483138,TGP,NYSE,56.0,13.0089998,13.0363546,-1.53,0.0
DU483138,TLP,NYSE,18.0,40.9739189,41.00915875,-0.63,0.0
DU483138,TSM,NYSE,19.0,37.56000135,37.5962346,-0.69,0.0
DU483138,UBA,NYSE,35.0,20.55423545,20.62010735,-2.31,0.0
DU483138,VIV,NYSE,61.0,12.1040001,12.1089419,-0.3,-0.0
