Exchange,Symbol,order_size
NYSE,NVO,55.0
NYSE,BXMT,71.0
NYSE,GLOP,111.0
NYSE,PAA,111.0
NYSE,TGP,191.0
NYSE,RPT,174.0
NYSE,UBA,119.0
NYSE,CNA,56.0
NYSE,MFA,347.0
NYSE,PRA,61.0
NYSE,INFY,257.0
NYSE,TLP,60.0
NYSE,HEP,88.0
NYSE,VIV,208.0
NYSE,PSXP,
NYSE,INN,
NYSE,TSM,68.0
NYSE,TEO,153.0
NASDAQ,SIR,130.0
AMEX,SACH,648.0
NYSE,ARI,133.0
NYSE,T,
NYSE,EQM,54.0
NYSE,TEF,284.0
NYSE,TEVA,122.0
NYSE,KIM,147.0
NYSE,CHT,-21.0
NYSE,TUP,-20.0
NYSE,BCE,-17.0
NYSE,MSB,-28.0
NYSE,IRET,-139.0
NYSE,EOS,-47.0
NYSE,DNP,-67.0
NYSE,MAC,-14.0
NYSE,SBR,-19.0
NASDAQ,CLCT,-57.0
NYSE,SHLX,-37.0
NYSE,LDP,-34.0
NYSE,BXG,-54.0
NYSE,ADX,-54.0
NYSE,NMM,-617.0
NYSE,IVZ,-39.0
NYSE,JPI,-35.0
NYSE,MFD,-71.0
NASDAQ,GMLP,-60.0
NYSE,UAN,-209.0
NYSE,BPT,-27.0
NASDAQ,IMOS,-42.0
NYSE,CMRE,-146.0
NYSE,KNOP,-37.0
NASDAQ,RMCF,-90.0
NASDAQ,DMLP,-43.0
NASDAQ,CRWS,-129.0
NYSE,CTL,-41.0
NYSE,ETB,-50.0
NYSE,SEP,-20.0
NYSE,IVH,-57.0
NYSE,SBS,-101.0
ARCA,SLV,-163.0
NYSE,TGNA,-57.0
NASDAQ,BKEP,-440.0
NASDAQ,MNDO,-332.0
NYSE,CMP,-15.0
NASDAQ,PDLI,-248.0
NYSE,LAZ,-20.0
NYSE,OII,-46.0
NASDAQ,COMM,-42.0
NYSE,SWM,-26.0
NYSE,GHY,-55.0
AMEX,EAD,-97.0
NYSE,JP,-119.0
NYSE,ENBL,-53.0
NYSE,SXCP,-60.0
NYSE,HBB,-33.0
NYSE,RVT,-54.0
NASDAQ,CHY,-70.0
NYSE,CSS,-69.0
NYSE,JHG,-34.0
NYSE,ELP,-87.0
NYSE,CHL,-14.0
NYSE,CZZ,-84.0
NYSE,NRP,-19.0
NYSE,NS,-30.0
AMEX,DHY,-321.0
NYSE,FPF,-37.0
NYSE,DLNG,-174.0
NYSE,FT,-113.0
NYSE,CVE,-92.0
NYSE,PCI,-32.0
NASDAQ,IPHS,-29.0
NYSE,PDI,-24.0
NYSE,CVRR,-51.0
NYSE,SFL,-57.0
NYSE,CCR,-42.0
NYSE,KOF,-12.0
NYSE,CRT,-53.0
NYSE,DSL,-40.0
NYSE,NRT,-118.0
AMEX,DMF,-94.0
NYSE,CATO,-52.0
NYSE,ERF,-79.0
NASDAQ,ATAX,-129.0
NYSE,AB,-26.0
NASDAQ,CPLP,-295.0
NYSE,PBT,-110.0
NASDAQ,ERIC,-83.0
NYSE,MVO,-95.0
NYSE,UMC,-411.0
NASDAQ,TEDU,-106.0
NYSE,MTR,-56.0
NASDAQ,PPC,-42.0
NASDAQ,ARLP,-37.0
NYSE,BKE,-38.0
NYSE,PBI,-100.0
AMEX,BCV,-38.0
NASDAQ,HIHO,-199.0
NYSE,ARDC,-50.0
NYSE,CODI,-50.0
NYSE,DSM,-103.0
NYSE,HT,-39.0
NYSE,GME,-52.0
NYSE,PCN,-48.0
NYSE,F,-82.0
NYSE,AMC,-50.0
NYSE,UGP,-59.0
NYSE,SDLP,-298.0
NYSE,APU,-22.0
NYSE,GCI,-72.0
NYSE,CXW,-33.0
NYSE,LEO,-100.0
,XAUUSD,113.0
NYSE,CINR,-31.0
AMEX,CMCL,-134.0
NYSE,SJT,-151.0
NASDAQ,CPSI,-27.0
NYSE,CVI,-18.0
